educ,salary,salbegin,jobtime,prevexp,age
15,57000,27000,98,144,37
16,40200,18750,98,36,31
12,21450,12000,98,381,60
8,21900,13200,98,190,42
15,45000,21000,98,138,34
15,32100,13500,98,67,31
15,36000,18750,98,114,33
12,21900,9750,98,0,23
15,27900,12750,98,115,43
12,24000,13500,98,244,43
16,30300,16500,98,143,39
8,28350,12000,98,26,23
15,27750,14250,98,34,29
15,35100,16800,98,137,40
12,27300,13500,97,66,27
12,40800,15000,97,24,25
15,46000,14250,97,48,27
16,103750,27510,97,70,33
12,42300,14250,97,103,27
12,26250,11550,97,48,49
16,38850,15000,97,17,26
12,21750,12750,97,315,49
15,24000,11100,97,75,24
12,16950,9000,97,124,56
15,21150,9000,97,171,47
15,31050,12600,96,14,23
19,60375,27480,96,96,35
15,32550,14250,96,43,26
19,135000,79980,96,199,45
15,31200,14250,96,54,28
12,36150,14250,96,83,25
19,110625,45000,96,120,35
15,42000,15000,96,68,28
19,92000,39990,96,175,40
17,81250,30000,96,18,28
8,31350,11250,96,52,26
12,29100,13500,96,113,35
15,31350,15000,96,49,27
16,36000,15000,96,46,29
15,19200,9000,96,23,56
12,23550,11550,96,52,28
15,35100,16500,95,90,29
12,23250,14250,95,46,25
8,29250,14250,95,50,26
12,30750,13500,95,307,51
15,22350,12750,95,165,49
12,30000,16500,95,228,51
12,30750,14100,94,240,42
15,34800,16500,94,93,31
16,60000,23730,94,59,29
12,35550,15000,94,48,27
15,45150,15000,94,40,26
18,73750,26250,94,56,35
12,25050,13500,94,444,58
12,27000,15000,94,120,29
15,26850,13500,94,5,27
15,33900,15750,94,78,26
15,26400,13500,94,3,25
15,28050,14250,94,36,28
12,30900,15000,94,102,30
8,22500,9750,94,36,25
16,48000,21750,93,22,27
17,55000,26250,93,32,28
16,53125,21000,93,48,26
8,21900,14550,93,41,25
19,78125,30000,93,7,27
16,46000,21240,93,35,25
16,45250,21480,93,36,26
16,56550,25000,93,34,29
15,41100,20250,93,27,27
17,82500,34980,93,207,41
16,54000,18000,93,11,25
12,26400,10500,93,0,21
15,33900,19500,93,192,56
15,24150,11550,93,0,24
15,29250,11550,93,11,22
12,27600,11400,93,6,21
12,22950,10500,93,10,21
16,34800,14550,93,8,27
16,51000,18000,93,22,28
12,24300,10950,93,5,21
12,24750,14250,93,193,42
12,22950,11250,93,0,22
8,25050,10950,93,8,22
15,25950,17100,92,42,27
15,31650,15750,92,64,28
12,24150,14100,92,130,30
19,72500,28740,92,10,27
19,68750,27480,92,8,28
8,16200,9750,92,0,51
12,20100,11250,92,24,22
8,24000,10950,92,6,21
12,25950,10950,92,0,21
12,24600,10050,92,44,39
12,28500,10500,92,6,21
8,30750,15000,92,432,56
17,40200,19500,92,168,36
8,30000,15000,92,144,33
12,22050,10950,92,5,21
18,78250,27480,91,47,26
16,60625,22500,91,44,29
14,39900,15750,91,59,26
19,97000,35010,91,68,30
15,27450,15750,91,48,27
15,31650,13500,91,18,23
19,91250,29490,91,23,27
12,25200,14400,91,83,29
12,21000,11550,91,108,59
12,30450,15000,91,49,26
15,28350,18000,91,151,37
12,30750,9000,91,314,49
12,30750,15000,91,240,41
16,54875,27480,90,68,30
14,37800,16500,90,60,28
15,33450,14100,90,85,28
15,30300,16500,90,16,27
12,31500,18750,90,205,57
12,31650,14250,90,48,25
12,25200,14100,90,55,26
16,37800,15750,90,7,25
15,18750,10500,90,54,53
15,32550,13500,90,22,24
12,33300,15000,90,3,40
16,38550,16500,90,0,26
12,27450,15000,90,173,33
15,24300,15000,90,191,38
12,30750,15000,90,209,39
12,19650,9750,90,229,43
17,68750,27510,89,38,30
20,59375,30000,89,6,31
15,31500,15750,89,22,27
12,27300,17250,89,175,36
15,27000,15750,89,87,30
16,41550,24990,89,285,48
12,26250,10950,89,0,21
12,22200,15000,88,324,50
21,65000,37500,88,264,52
12,30900,15000,88,252,42
8,20100,13200,88,90,58
12,22350,13500,88,26,24
15,35550,13350,88,32,23
12,28500,13950,88,34,23
12,24450,13200,88,107,50
8,16650,9750,88,412,58
12,26700,13500,88,38,25
18,43950,23250,88,182,38
15,23700,13500,88,359,53
15,26550,14250,88,61,30
12,27600,15000,87,75,27
12,25800,15000,87,143,35
16,42300,26250,87,126,35
8,30750,15000,87,451,60
12,26700,12900,87,18,22
12,20850,12000,87,163,49
15,35250,15000,87,54,26
15,26700,15000,87,56,26
12,26550,13050,87,11,22
12,27750,12000,87,11,25
16,25050,12750,87,123,38
16,66000,47490,86,150,38
16,52650,19500,86,20,26
16,45625,23250,86,60,28
15,30900,15000,86,25,24
15,29400,16500,86,24,24
15,33300,13500,86,24,23
12,21900,9750,86,156,47
12,18150,9750,86,72,57
16,46875,17250,86,19,27
12,25500,14400,86,37,24
12,26550,15000,86,38,25
12,26700,13500,86,367,59
15,29850,15000,86,79,36
20,69250,42480,85,134,39
8,31950,15000,85,438,54
8,26250,15600,85,171,51
16,35700,17250,85,19,27
12,28500,16500,85,69,27
12,17100,10200,85,72,51
12,25200,13050,85,29,24
12,24000,12750,85,59,29
12,27450,10200,85,101,50
12,18450,10200,85,228,46
15,39300,15750,84,72,29
15,38850,15000,84,53,25
8,30750,15000,84,380,59
15,37500,20400,84,33,25
16,58750,21750,84,13,26
12,34500,18750,84,208,55
12,36000,19980,84,240,39
8,29100,16500,84,35,57
12,16500,10200,84,288,58
12,19650,12750,84,180,40
12,24750,12000,84,41,23
15,27150,15750,84,231,51
12,26400,12750,84,36,34
16,23100,12000,84,214,43
15,54900,25500,83,49,27
19,70875,43500,83,156,37
16,51250,27480,83,69,31
17,67500,34980,83,9,26
12,29340,19500,83,150,34
15,39600,16500,83,47,26
12,29100,15000,83,50,25
15,33150,16500,83,69,29
16,66750,52500,83,258,45
12,33750,15000,83,284,46
15,27300,17250,83,91,30
12,24000,11250,83,16,21
8,19800,10200,83,75,55
15,30600,16500,83,216,40
15,28950,15000,83,108,39
15,38400,16500,83,64,24
8,30750,15000,83,302,44
12,20400,10950,83,9,21
12,19200,11100,83,7,21
15,30150,15750,82,72,25
16,34620,27750,82,149,40
15,80000,15750,82,34,25
12,25350,15000,82,32,26
12,29850,15750,82,85,26
12,24000,13800,82,97,42
15,27750,19500,82,265,54
8,22350,10200,82,48,47
12,16200,10200,82,0,55
15,21900,12750,82,0,22
16,23250,15750,82,4,25
12,33900,12000,82,11,24
15,25650,14250,82,51,26
12,17250,10200,82,358,49
15,22500,15000,82,371,55
16,40200,21000,81,3,24
19,55500,33750,81,62,26
15,26550,15000,81,52,26
15,50550,19500,81,44,29
19,75000,31500,81,13,27
8,27450,12000,81,9,20
12,22650,11250,81,0,20
12,27300,11250,81,5,20
12,27750,11225,81,5,20
16,54375,18750,81,81,28
8,17400,10200,81,390,53
12,40800,18000,81,4,22
12,23100,10950,81,0,20
8,22500,10950,81,5,20
12,26700,11550,81,18,20
12,24900,11250,81,0,21
12,19650,10950,81,11,21
12,22050,10950,81,9,20
12,25500,12000,81,11,20
15,28200,12750,81,19,23
12,23100,11250,81,13,20
12,25500,11400,81,9,20
8,17100,10200,81,0,47
18,68125,32490,80,29,25
12,30600,15750,80,460,57
19,52125,27480,80,221,41
19,61875,36750,80,199,38
8,21300,11550,80,24,20
12,19650,11250,80,5,20
12,22350,11250,80,5,20
12,23400,11250,80,18,20
12,24300,10950,80,8,21
12,28500,11250,80,4,21
12,19950,11250,80,8,20
12,23400,11250,80,0,20
16,34500,17250,80,3,26
12,18150,10950,80,0,20
12,22350,15000,80,272,53
15,40200,17250,79,38,23
15,28650,18000,79,261,42
15,27750,16500,79,55,26
18,66875,31980,79,30,25
12,30000,15750,79,308,50
16,83750,21750,79,12,25
12,33900,16500,79,94,26
16,56500,21000,79,12,24
16,43000,17490,79,20,24
8,20850,12000,79,70,46
12,24450,12000,79,8,20
12,24750,10950,79,5,20
8,34500,15750,79,246,44
14,27900,15000,79,47,26
19,68125,32010,78,35,26
19,73500,33000,78,45,28
8,30750,15750,78,429,59
15,40050,25500,78,133,31
16,40350,19500,78,20,24
15,38700,23730,78,176,34
17,65000,30750,78,26,25
18,51450,36240,78,149,35
12,35250,15750,78,387,55
14,25950,15000,78,53,26
15,25050,14250,78,24,24
12,26700,12750,78,25,21
8,24000,15750,78,476,57
12,26850,15000,78,48,25
12,23400,15300,78,209,47
12,24600,13500,78,47,23
15,32550,18000,78,6,24
16,26550,15000,78,105,29
12,31500,13500,78,7,21
8,22350,15000,78,320,50
12,35250,15750,78,281,51
15,25800,13500,78,51,44
12,30750,15750,77,317,48
15,30750,16500,77,41,23
16,50000,32490,77,264,44
15,34500,18000,77,63,26
15,26250,15750,77,38,25
16,44875,21240,77,22,25
12,22500,12000,77,63,38
12,25650,14250,77,64,26
12,21300,11250,77,0,20
12,29850,13500,77,38,23
12,34500,12150,77,4,20
15,27750,15000,77,52,29
12,27750,11550,77,12,20
16,48750,21990,76,61,28
15,43410,15750,76,12,23
12,22050,15000,76,385,53
12,22050,12000,76,6,36
12,22500,14250,76,90,51
15,25500,12000,76,7,22
12,29160,15000,76,22,23
8,16800,10200,76,76,55
8,29550,15750,76,144,31
12,26700,15750,76,18,24
18,55000,32490,75,125,37
18,62500,34980,75,74,31
15,27300,17250,75,132,30
12,24450,12000,75,144,47
16,33000,18000,75,26,25
15,37050,18000,75,5,24
12,24450,10950,75,32,23
8,31950,15750,74,408,59
16,47250,21240,74,45,25
12,26100,11550,74,2,19
8,15900,10200,74,43,51
8,23700,10650,74,281,47
8,21750,12450,74,318,55
12,59400,33750,74,272,44
12,24450,14250,74,117,41
16,103500,60000,73,150,36
12,35700,16500,73,72,26
12,22200,16500,73,7,20
15,22950,13950,73,22,21
12,23100,12000,73,228,45
16,56750,30000,73,15,27
17,29100,12750,73,375,51
12,37650,15750,73,132,50
12,27900,13500,73,32,23
8,21150,12000,73,159,56
12,31200,15750,73,155,34
12,20550,11250,73,154,43
15,25950,17250,72,83,28
15,28350,15000,72,48,24
8,17700,10200,72,184,57
15,23550,13500,72,49,45
12,19950,10200,72,56,48
12,29400,15300,72,30,21
12,28800,13950,72,18,23
8,16950,10200,72,319,52
16,35700,18000,72,138,35
12,17400,10200,72,116,42
8,21450,10200,72,194,41
12,24750,12000,72,68,28
12,16950,10200,72,271,47
12,26100,13500,72,169,46
14,28050,15000,71,15,22
16,36600,18000,71,12,26
16,58125,18000,71,11,23
15,21300,15750,70,372,54
12,22500,16500,70,216,40
15,29400,15750,70,15,22
12,27450,14700,70,41,23
15,29850,15750,70,48,25
15,25350,15750,70,56,24
8,15750,10200,70,275,59
8,19650,13050,70,102,51
12,21000,13500,70,82,48
17,27000,18000,70,192,43
12,24000,15750,70,120,30
17,78500,28740,70,67,28
12,20850,13050,70,127,34
12,30000,15750,69,348,59
8,28500,15750,69,174,55
19,65000,31980,69,74,24
14,30150,16500,69,110,30
19,66875,32490,69,81,30
15,24150,13500,69,7,21
12,24450,12450,69,12,20
12,21600,12000,69,0,19
12,27900,12450,69,0,20
8,29100,12450,69,17,19
12,22650,11250,69,2,19
12,20850,11250,69,0,19
12,22950,12300,69,5,19
12,30600,12450,69,5,19
12,20400,11250,69,0,19
12,23850,12750,69,20,20
12,22800,11250,69,0,19
12,20700,11250,69,2,19
12,21300,11250,69,3,19
12,24300,15000,69,121,36
12,19650,13950,69,133,45
17,60000,32490,68,17,24
15,30300,15750,68,55,24
19,61250,33000,68,9,25
19,36000,19500,68,21,27
8,25200,18750,68,344,47
12,16200,10200,68,180,58
12,22800,11250,68,2,19
16,43500,19500,68,11,23
8,30300,15750,68,155,28
15,31950,15750,68,70,26
15,35250,13500,67,6,24
15,37800,15000,67,36,22
15,31200,15750,67,46,24
15,29400,16500,67,68,25
19,70000,35040,67,75,32
15,33900,15750,67,96,28
15,27150,16500,67,78,26
12,22200,13800,67,196,53
15,31350,11100,67,47,23
12,20850,13500,67,181,47
16,33300,17490,67,120,37
8,26250,16050,67,97,47
15,31950,15750,67,58,25
8,30000,15750,67,305,43
19,66250,34980,67,99,33
18,86250,45000,66,50,30
12,30750,15000,66,56,25
12,33540,15750,66,47,23
16,34950,20250,66,55,NA
15,40350,16500,66,80,25
12,30270,15750,66,80,24
8,26250,16050,66,264,56
15,32400,15000,66,64,25
12,20400,11250,66,0,19
8,24150,12750,66,96,42
15,23850,13500,66,122,40
12,29700,13500,66,26,21
8,21600,13500,66,228,60
12,24450,15750,66,87,28
15,28050,16500,66,84,26
16,1.00E+05,44100,66,128,31
15,49000,20550,66,86,28
12,16350,10200,66,163,56
16,70000,21750,65,19,23
19,55000,34980,65,129,35
15,28500,14250,65,20,20
12,28800,18000,65,210,36
15,24450,15750,65,338,59
19,90625,31250,65,18,24
16,43650,19500,65,19,25
19,75000,42510,65,54,30
15,31650,14250,65,10,21
19,61875,28740,65,26,24
12,21750,11250,65,0,18
12,22500,12750,65,24,20
8,21600,13500,65,173,46
16,34410,19500,65,79,26
15,20700,14250,65,241,55
19,47550,33000,64,27,27
12,33900,16500,64,106,27
12,23400,13500,64,198,41
16,32850,19500,64,20,22
16,55750,19980,64,36,24
15,25200,13950,64,57,25
12,26250,15750,64,69,25
15,26400,15750,64,32,23
15,39150,15750,63,46,23
12,21450,12750,63,139,52
12,29400,14250,63,9,21
